id,topic_name,subject_name,required_hours
1,Propositional and first order logic,Engineering Mathematics,1
2,Sets v3 v2,Engineering Mathematics,1
3,relations,Engineering Mathematics,2
4,functions,Engineering Mathematics,5
5,partial orders,Engineering Mathematics,2
6,lattices,Engineering Mathematics,5
7,Groups,Engineering Mathematics,5
8,"Graphs: connectivity, matching, coloring",Engineering Mathematics,2
9,"Combinatorics: counting, recurrence relations, generating functions",Engineering Mathematics,4
10,Matrices,Engineering Mathematics,3
11,determinants,Engineering Mathematics,4
12,system of linear equations,Engineering Mathematics,3
13,eigenvalues and eigenvectors,Engineering Mathematics,3
14,LU decomposition.,Engineering Mathematics,5
15,Limits,Engineering Mathematics,1
16,continuity,Engineering Mathematics,1
17,differentiability,Engineering Mathematics,1
18,Maxima and minima,Engineering Mathematics,3
19,Mean value theorem,Engineering Mathematics,4
20,Integration,Engineering Mathematics,2
21,Random variables,Engineering Mathematics,5
22,Uniform and normal Distribution,Engineering Mathematics,3
23,"exponential, poisson and binomial distributions",Engineering Mathematics,5
24,Mean and median,Engineering Mathematics,1
25,mode and standard deviation,Engineering Mathematics,1
26,Conditional probability,Engineering Mathematics,4
27,Bayes theorem.,Engineering Mathematics,3
28,Boolean algebra,Digital Logic,5
29,Combinational and sequential circuits,Digital Logic,1
30,Minimization,Digital Logic,1
31,Number representations,Digital Logic,3
32,computer arithmetic (fixed and floating point),Digital Logic,3
33,Machine instructions and addressing modes,Computer Organization and Architecture,3
34,ALU,Computer Organization and Architecture,2
35,data?path and control unit,Computer Organization and Architecture,2
36,Instruction pipelining,Computer Organization and Architecture,2
37,"Memory hierarchy: cache, main memory and secondary storage",Computer Organization and Architecture,5
38,I/O interface (interrupt and DMA mode),Computer Organization and Architecture,4
39,Programming in C,Programming and Data Structures,4
40,recurrenceursion,Programming and Data Structures,5
41,Arrays,Programming and Data Structures,1
42,stacks,Programming and Data Structures,3
43,queues,Programming and Data Structures,5
44,linked lists,Programming and Data Structures,3
45,trees,Programming and Data Structures,3
46,binary search trees,Programming and Data Structures,1
47,binary heaps,Programming and Data Structures,5
48,graphs.,Programming and Data Structures,2
49,Searching,Algorithms,2
50,sorting,Algorithms,3
51,hashing,Algorithms,2
52,Asymptotic worst case time and space complexity,Algorithms,1
53,"Algorithm design techniques: greedy, dynamic programming and divide?and?conquer",Algorithms,3
54,Graph search,Algorithms,5
55,Minimum spanning trees,Algorithms,5
56,Shortest paths,Algorithms,5
57,Regular expressions and finite automata,Theory of Computation,1
58,Context-free grammars and push-down automata,Theory of Computation,2
59,Regular and contex-free languages,Theory of Computation,2
60,pumping lemma,Theory of Computation,2
61,Turing machines,Theory of Computation,3
62,undecidability,Theory of Computation,3
63,Lexical analysis,Compiler Design,2
64,parsing,Compiler Design,1
65,syntax-directed translation,Compiler Design,4
66,Runtime environments,Compiler Design,1
67,Intermediate code generation,Compiler Design,2
68,Processes,Operating System,2
69,threads,Operating System,3
70,inter?process communication,Operating System,5
71,concurrency and synchronization,Operating System,5
72,Deadlock,Operating System,5
73,CPU scheduling,Operating System,4
74,Memory management and virtual memory,Operating System,5
75,File systems,Operating System,3
76,ER?mode,Databases,1
77,"Relational model: relational algebra, tuple calculus, SQL",Databases,5
78,Integrity constraints,Databases,3
79,normal forms,Databases,4
80,File organization,Databases,2
81,"indexing (e.g., B and B+ trees)",Databases,2
82,Transactions and concurrency control,Databases,4
83,Concept of layering,Computer Networks,4
84,LAN technologies (Ethernet),Computer Networks,1
85,Flow and error control techniques,Computer Networks,4
86,switching,Computer Networks,3
87,IPv4/IPv6,Computer Networks,1
88,"routers and routing algorithms (distance vector, link state)",Computer Networks,3
89,TCP/UDP and sockets,Computer Networks,3
90,congestion control,Computer Networks,3
91,"Application layer protocols (DNS, SMTP, POP, FTP, HTTP)",Computer Networks,5
92,Basics of Wi-Fi,Computer Networks,3
93,Network security: authentication,Computer Networks,1
94,basics of public key and private key cryptography,Computer Networks,4
95,digital signatures and certificates,Computer Networks,4
96,firewalls,Computer Networks,3
99,new topic 1,Subject 1,1
100,new topic 2,Subject 1,2
