id,topic_id,question_statement,a,b,c,d,answer
205,52,,,,,,
206,52,,,,,,
207,52,,,,,,
208,52,,,,,,
209,52,,,,,,
400,52,"Let G = (V,E) be a weighted undirected graph and let T be a Minimum Spanning Tree (MST) of G maintained using adjacency lists. Suppose a new weighted edge (u,v) ε V x V is added to G. The worst case time complexity of determining if T is still an MST of the resultant graph is",0(E+V),0(E+log(V)),0(|V|),none,c
401,52,"Consider a graph G = (V, E), where V = {v1, v2, …, v100}, E = {(vi, vj) | 1 ≤ i < j ≤ 100}, and weight of the edge (vi, vj) is |i - j|. The weight of the minimum spanning tree of G is ______.",100,99,20,none,b
402,52,"Let G be a complete undirected graph on 4 vertices, having 6 edges with weights being 1, 2, 3, 4, 5, and 6. The maximum possible weight that a minimum weight spanning tree of G can have is __________.",7,6,8,none,a
403,52,"Let G be a connected undirected graph of 100 vertices and 300 edges. The weight of a minimum spanning tree of G is 500. When the weight of each edge of G is increased by five, the weight of a minimum spanning tree becomes __________.",995,996,994,none,a
404,52,"Let G be a weighted graph with edge weights greater than one and G' be the graph constructed by squaring the weights of edges in G. Let T and T' be the minimum spanning trees of G and G', respectively, with total weights t and t'. Which of the following statements is TRUE?",T' = T with total weight t' = t^2,T' ≠ T but total weight t' = t2,T' = T with total weight t'2,none,d
405,52,Let w be the minimum weight among all edge weights in an undirected connected graph. Let e be a specific edge of weight w. Which of the following is FALSE?,Every minimum spanning tree has an edge of weight w.,e is present in every minimum spanning tree.,There is a minimum spanning tree containing e.,none,b
406,52,What is the largest integer m such that every simple connected graph with n vertices and n edges contains at least m different spanning trees?,1,2,3,N,c
407,52,"Consider a weighted complete graph G on the vertex set {v1, v2, ... vn} such that the weight of the edge (vi, vj) is 2|i - j|. The weight of a minimum spanning tree of G is:",n-1,2n-2,n-3,none,b
408,52,Let G be an undirected connected graph with distinct edge weight. Let emax be the edge with maximum weight and emin the edge with minimum weight. Which of the following statements is false?,No minimum spanning tree contains emax,G has a unique minimum spanning tree,Every minimum spanning tree of G must contain emin,none,a
409,52,"Consider a graph G = (V, E), where V = {v1, v2, …, vN}, E = {(vi, vj) | 1 ≤ i < j ≤ N}, and weight of the edge (vi, vj) is |i - j|. The weight of the minimum spanning tree of G is ______ .",N-2,N-1,2N-1,none,b
410,52,Which one of the following correctly determines the solution of the recurrence relation with T(1) = 1? T(n) = 2T(n/2) + Logn,0(n),0(nlogn),0(n^2),none,a
411,52,"Suppose you want to move from 0 to 100 on the number line. In each step, you either move right by a unit distance or you take a shortcut. A shortcut is simply a pre-specified pair of integers i, j with i < j. Given a shortcut i, j if you are at position i on the number line, you may directly move to j. Suppose T(k) denotes the smallest number of steps needed to move from k to 100. Suppose further that there is at most 1 shortcut involving any number, and in particular from 9 there is a shortcut to 15. Let y and z be such that T(9) = 1 + min(T(y),T(z)). Then the value of the product yz is _____.",145,159,150,none,c
412,52,"Let W(n) and A(n) denote respectively, the worst case and average case running time of an algorithm executed on an input of size n. Which of the following is ALWAYS TRUE?",A(n) = Ω (W(n)),A(n) = Θ (W(n)),A(n) = 0 (W(n)),A(n) = o (W(n)),c
413,52,Two alternative packages A and B are available for processing a database having 10k records. Package A requires 0.0001n2 time units and package B requires 10nlog10n time units to process n records.What is the smallest value of k for which package B will be preferred over A?,12,10,6,5,c
414,52,The minimum number of comparisons required to determine if an integer appears more than n/2 times in a sorted array of n integers is,θ(n),θ(logn),θ(1),none,b
415,52,Arrange the following functions in increasing asymptotic order: A. n^1/3 B. en C. n^7/4 D. n log9n E. 1.0000001n,"A, D, C, E, B","D, A, C, E, B","A,D , C, B, E",none,a
416,52,"When n = 2^(2k) for some k ≥ 0, the recurrence relation T(n) = √(2) T(n/2) + √n, T(1) = 1 evaluates to :",log(n),√n(log(n)+1),√n,none,b
417,52,Which of the following sorting algorithms has the lowest worst-case complexity?,merge sort,quick sort,bubble sort,none,a
418,52,"In an unweighted, undirected connected graph, the shortest path from a node S to every other node is computed most efficiently, in terms of time complexity, by",Dijkstra’s algorithm starting from S,Warshall’s algorithm.,Performing a DFS starting from S.,Performing a BFS starting from S,d
419,52,"An array of n numbers is given, where n is an even number. The maximum as well as the minimum of these n numbers needs to be determined. Which of the following is TRUE about the number of comparisons needed?","At least 2n - c comparisons, for some constant c, are needed.",At most 1.5n - 2 comparisons are needed.,"At least 2n - c comparisons, for some constant c, are needed.",none,b
420,52,An element in an array X is called a leader if it is greater than all elements to the right of it in X. The best algorithm to find all leaders in an array,Solves it in linear time using a left to right pass of the array,Solves it in linear time using a right to left pass of the array,Solves it using divide and conquer in time θ(nlogn),none,b
421,52,"The median of n elements can be found in O(n) time. Which one of the following is correct about the complexity of quick sort, in which median is selected as pivot?",θ(n),θ(n2),θ(nlog n),none,c
422,52,The time complexity of computing the transitive closure of a binary relation on a set of n elements is known to be:,O(n),O(n log n),O(n^3),O(n^3/2),c
423,52,Suppose there are ⌈log n⌉ sorted lists of ⌊n/log n⌋ elements each. The time complexity of producing a sorted list of all these elements is: (Hint: Use a heap data structure),O(nlog log n),θ(nlog n ),Ω(nlog n ),Ω(n3/2),a
424,52,"Suppose T(n) = 2T (n/2) + n, T(0) = T(1) = 1 Which one of the following is FALSE?",T(n) = O(n^2),T(n) = θ(n log n),T(n) = Ω(n^2),none,c
